Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),RTO,Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Max Power (in bhp),Torque (in nm),Wheel Size,Registration Month,Registration Year,Depreciation Rate (in %),Price (in lacs),City,Mileage (in kmpl)
Maruti,S-Presso VXI Plus 2019-2022,Third Party,Petrol,5,"75,044",TS08,First Owner,998,Manual,2020,65.71,89,,Jun,2020,30,4.23,Bangalore,21.7
Tata,New Safari XZA Plus AT,Third Party,Diesel,7,"33,086",TS09,First Owner,1956,Automatic,2021,167.67,350,18,Jun,2021,20,21.74,Bangalore,14.08
Maruti,Alto K10 VXI,Third Party,Petrol,5,"58,455",TS09,Second Owner,998,Manual,2017,67.05,90,,Jun,2017,60,3.36,Bangalore,23.95
Hyundai,Creta 1.4 CRDi Base,Third Party insurance,Diesel,5,"1,00,000",,Second Owner,1396,Manual,2018,88.7,219.7,,,,50,8.4,Bangalore,21.38
Maruti,SX4 S Cross DDiS 320 Alpha,Third Party insurance,Diesel,5,"40,000",,First Owner,1598,Manual,2016,118,320,16,,,70,10.0,Bangalore,22.7
Maruti,Swift VDI BSIV,N/a,Diesel,5,"1,20,000",,First Owner,1248,Manual,2017,74,190,,,,60,5.7,Bangalore,25.2
Maruti,Zen VXI,Third Party insurance,Petrol,5,"70,000",,Second Owner,993,Manual,2002,60,78 ,12,,,75,0.6,Bangalore,17.3
Maruti,Swift Dzire VDI,Third Party insurance,Diesel,5,"1,20,000",N/A,First Owner,1248,Manual,2012,74,190,14,,,75,4.5,Bangalore,23.4
Skoda,Octavia Ambition 2.0 TDI AT,Third Party insurance,Diesel,5,"2,83,000",,Second Owner,1968,Automatic,2014,141,320,16,,,75,5.35,Bangalore,19.3
Nissan,Magnite Turbo XV,Comprehensive,Petrol,5,"13,200",,First Owner,999,Manual,2021,98.63,160,16,,,20,8.92,Bangalore,20
Tata,Nexon 1.2 Revotron XZA Plus DualTone,Comprehensive,Petrol,5,"27,642",TS07,First Owner,1198,Automatic,2018,108.5,170,16,Jun,2018,50,9.49,Bangalore,17
Honda,City i VTEC CVT SV,Third Party,Petrol,5,"69,914",AP09,First Owner,1497,Automatic,2014,117.3,145,,Jun,2014,75,6.2,Bangalore,18
Hyundai,i20 Asta Option Diesel,Comprehensive,Diesel,5,"91,332",TS28,Second Owner,1396,Manual,2018,88.76,224,16,Jun,2018,50,8.51,Bangalore,22.54
Renault,KWID Climber 1.0 MT Opt,Third Party,Petrol,5,"16,127",TS04,First Owner,999,Manual,2021,67,91,,Jun,2021,20,5.04,Bangalore,21.74
Maruti,Baleno 1.3 Sigma,Third Party,Diesel,5,"97,814",TS07,First Owner,1248,Manual,2018,74,190,,Jun,2018,50,6.0,Bangalore,27.39
Maruti,Alto 800 LXI Optional,Third Party,Petrol,5,"25,967",TS08,First Owner,796,Manual,2017,47.3,69,,Jun,2017,60,3.17,Bangalore,24.7
Maruti,Wagon R VXI BS IV,Third Party,Petrol,5,"41,699",TS13,First Owner,998,Manual,2018,67.04,90,,Jun,2018,50,4.9,Bangalore,20.51
Hyundai,Verna 1.6 SX VTVT,Third Party,Petrol,5,"41,732",TS15,Second Owner,1591,Manual,2017,121.3,154.9,16,Jun,2017,60,8.35,Bangalore,17.01
Maruti,Celerio VXI AMT BSIV,Comprehensive,Petrol,5,"59,815",TS15,Second Owner,998,Automatic,2018,67.04,90,,Jun,2018,50,5.02,Bangalore,23.1
Maruti,Celerio VXI AMT BSIV,Third Party,Petrol,5,"81,374",TS07,Second Owner,998,Automatic,2019,67.04,90,,Jun,2019,40,4.6,Bangalore,23.1
Kia,Seltos GTX Plus DCT,Comprehensive,Petrol,5,"15,000",,First Owner,1353,Automatic,2021,138.08,242,17,,,20,17.75,Bangalore,16.5
Hyundai,Verna 1.6 CRDi AT SX,Third Party insurance,Diesel,5,"64,000",TS09,First Owner,1582,Automatic,2015,126.2,259.9,16,Sept,2015,75,6.75,Bangalore,19.08
Honda,City i DTEC VX,Third Party insurance,Diesel,5,"1,00,000",,First Owner,1498,Manual,2014,98.6,200,15,,,75,5.4,Bangalore,25.1
