Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),RTO,Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Mileage (in kmpl),Max Power (in bhp),Torque (in nm),Wheel Size,Registration Month,Registration Year,Depreciation Rate (in %),Price (in lacs),City
Hyundai,Grand i10 1.2 Kappa Asta,Comprehensive,Petrol,5,"44,803",KA51,Second Owner,1197,Manual,2019,18.9,81.86,113.75,14,Jun,2019,40,5.98,Bangalore
Honda,Jazz 1.2 VX i VTEC,Third Party,Petrol,5,"36,078",KA04,Second Owner,1199,Manual,2015,18.7,88.7,110,15,Jun,2015,75,5.73,Bangalore
Nissan,Micra XV CVT,Comprehensive,Petrol,5,"60,781",KA05,Second Owner,1198,Automatic,2013,19.34,76,104,15,Jun,2013,75,4.08,Bangalore
Hyundai,Verna 1.6 SX,Third Party insurance,Diesel,5,"60,000",,Third Owner,1582,Manual,2012,22.32,126.32,259.8,16,,,75,4.12,Bangalore
Maruti,Wagon R LX Minor Duo LPG,Third Party insurance,LPG,5,"1,10,000",,Second Owner,1061,Manual,2008,,67,84,14,,,75,1.87,Bangalore
Maruti,Eeco 5 Seater AC BSIV,Third Party insurance,Petrol,5,"1,00,000",,Fourth Owner,1196,Manual,2011,15.37,73,101,,,,75,2.0,Bangalore
Toyota,Fortuner 2.8 2WD AT,Comprehensive,Diesel,7,"1,20,000",KA05,First Owner,2755,Automatic,2017,12.9,174.5,450,17,Apr,2017,60,32.0,Bangalore
BMW,3 Series GT Luxury Line,Comprehensive,Diesel,5,"79,000",KA51,First Owner,1995,Automatic,2017,21.76,188,400,18,Jan,2018,60,36.5,Bangalore
Hyundai,i20 Active 1.2 S,Third Party insurance,Petrol,5,"60,000",,Fourth Owner,1197,Manual,2015,17.19,81.86,114.73,16,,,75,6.0,Bangalore
Tata,Nano XTA,Comprehensive,Petrol,4,"35,017",KA01,First Owner,624,Automatic,2015,21.9,37.48,51,,Jan,2017,75,2.59,Bangalore
Chevrolet,Optra 1.6 LS,Third Party insurance,Petrol,5,"1,00,000",,Second Owner,1599,Manual,2005,14.7,104,148 ,14,,,75,0.85,Bangalore
Ford,Freestyle Titanium Petrol BSIV,Third Party,Petrol,5,"39,253",KA04,First Owner,1194,Manual,2019,19,94.68,120,15,Jun,2019,40,6.1,Bangalore
Hyundai,Santro Era Executive BSIV,Third Party,Petrol,5,"12,359",KA05,First Owner,1086,Manual,2019,20.3,68,99,,Jun,2019,40,4.51,Bangalore
Renault,Duster 110PS Diesel RxZ AMT,Third Party,Diesel,5,"43,609",KA51,Second Owner,1461,Automatic,2017,19.6,108.45,245,16,Jun,2017,60,9.29,Bangalore
Honda,City V MT,Third Party,Petrol,5,"24,311",KA01,First Owner,1497,Manual,2019,17.4,117.60,145,15,Jun,2019,40,9.39,Bangalore
Renault,Duster RXS 85PS BSIV,Third Party,Diesel,5,"48,232",KA25,First Owner,1461,Manual,2019,19.87,84bhp3750,200,,Jun,2019,40,9.12,Bangalore
Renault,Duster 110PS Diesel RxZ AMT,Comprehensive,Diesel,5,"59,775",KA03,Second Owner,1461,Automatic,2016,19.6,108.45,245,16,Jun,2016,70,8.91,Bangalore
Hyundai,Venue SX Opt Diesel,Zero Dep,Diesel,5,"42,663",KA05,Second Owner,1493,Manual,2020,23.7,98.6,240.26,16,Jun,2020,30,12.03,Bangalore
Ford,Ecosport 1.5 Ti VCT MT Titanium,Third Party,Petrol,5,"67,858",KA03,First Owner,1499,Manual,2014,15.8,110,140,16,Jun,2014,75,6.18,Bangalore
Skoda,Rapid 1.6 MPI AT Style BSIV,Comprehensive,Petrol,5,"62,893",KA03,First Owner,1598,Automatic,2017,14.84,103.2,153,16,Jun,2017,60,8.2,Bangalore
Honda,Jazz 1.2 V i VTEC,Third Party,Petrol,5,"54,761",KA05,Second Owner,1199,Manual,2017,18.7,88.7,110,15,Jun,2017,60,6.03,Bangalore
Maruti,Wagon R VXI BS IV,Third Party,Petrol,5,"63,093",KA51,First Owner,998,Manual,2015,20.51,67.04,90,,Jun,2015,75,3.99,Bangalore
Honda,City V MT,Third Party,Petrol,5,"77,095",KA01,First Owner,1497,Manual,2012,16.8,116.3,146,15,Jun,2012,75,5.61,Bangalore
Honda,Amaze S i-VTEC,Third Party insurance,Petrol,5,"30,000",,Third Owner,1198,Manual,2017,17.8,86.7,109,,,,60,4.5,Bangalore
Toyota,Innova Crysta 2.8 ZX AT BSIV,Comprehensive,Diesel,7,"35,135",KA02,Second Owner,2755,Automatic,2019,11.36,171.5,360,17,Feb,2019,40,26.95,Bangalore
Tata,Safari Storme VX Varicor 400,Third Party insurance,Diesel,7,"1,50,000",,Second Owner,2179,Manual,2016,14.1,153.86,400,17,,,70,7.0,Bangalore
Mercedes-Benz,GLC 220d 4MATIC,Comprehensive,Diesel,5,"50,000",KA69,First Owner,1950,Automatic,2019,,194,400,19,Apr,2019,40,45.5,Bangalore
Chevrolet,Cruze LTZ,Third Party insurance,Diesel,5,"70,000",,Third Owner,1998,Manual,2013,17.3,163.7,380,16,,,75,8.0,Bangalore
Maruti,Swift Dzire VDI Optional,Third Party insurance,Diesel,5,"50,000",,Second Owner,1248,Manual,2016,26.59,74,190,,,,70,6.15,Bangalore
Tata,Indica TDI LS,Third Party insurance,Diesel,5,"1,10,000",N/A,Second Owner,1405,Manual,2014,19.1,70,135.4,,,,75,1.94,Bangalore
Toyota,Innova 2.5 G (Diesel) 7 Seater,Comprehensive,Diesel,7,"1,21,000",KA01,Second Owner,2494,Manual,2009,12.99,100,200,15,May,2009,75,7.2,Bangalore
Hyundai,EON Magna,Third Party,Petrol,5,"96,382",KA02,Third Owner,814,Manual,2012,22,55 ,76.5 ,13,Jun,2012,75,2.3,Bangalore
Maruti,Alto 800 VXI Optional,,Petrol,5,"40,518",KA53,First Owner,796,Manual,2016,24.7,47.3,69,,Oct,2016,70,3.5,Bangalore
Ford,Ecosport 1.5 Diesel Titanium BSIV,Third Party,Diesel,5,"60,476",KA05,Second Owner,1498,Manual,2019,23,98.96,205,16,Jun,2019,40,9.34,Bangalore
