Brand,Insurance Validity,Fuel Type,Seats,Kms Driven,Ownership,Engine Displacement (in cc),Transmission,Mileage (in kmpl),Max Power (in bhp),Wheel Size,Registration Month,Registration Year,Price (in lacs),City
Volkswagen,Third Party insurance,Diesel,5.0,116283.0,First Owner,1598.0,Manual,20.54,103.6,15,May,2011.0,3.45,Hyderabad
Hyundai,Not Available,Petrol,5.0,83008.0,First Owner,1197.0,Manual,18.6,81.83,,Mar,2017.0,5.5,Delhi
Maruti,Comprehensive,Petrol,5.0,3900.0,First Owner,998.0,Manual,25.24,65.71,,Apr,2022.0,6.35,Mumbai
Hyundai,Third Party,Petrol,5.0,17375.0,First Owner,1197.0,Manual,17.19,81.86,16,Jun,2017.0,5.94,Kolkata
Hyundai,Third Party insurance,Diesel,5.0,70000.0,Second Owner,1120.0,Manual,24.0,70.0,,Mar,2017.0,3.75,Kolkata
Maruti,Not Available,Petrol,5.0,92471.0,First Owner,998.0,Manual,18.9,67.1,13,Oct,2004.0,0.75,Jaipur
Hyundai,Comprehensive,Petrol,5.0,14862.0,First Owner,1497.0,Manual,17.7,113.18,16,Jun,2021.0,13.34,Hyderabad
Mercedes-Benz,Comprehensive,Diesel,5.0,98000.0,First Owner,2143.0,Automatic,17.9,201.15,19,Sept,2016.0,35.9,Delhi
Volkswagen,Not Available,Diesel,5.0,223967.0,First Owner,1598.0,Manual,20.54,103.6,15,Nov,2013.0,3.21,Jaipur
MG,Not Available,Petrol,5.0,1569.0,First Owner,1498.0,Manual,15.43,108.49,17,Feb,2023.0,15.0,Ahmedabad
Ford,Comprehensive,Petrol,5.0,69388.0,First Owner,1499.0,Manual,15.8,110.0,,Sept,2013.0,3.65,Mumbai
Audi,Third Party,Diesel,5.0,66259.0,First Owner,1968.0,Manual,17.32,138.13,16,Jan,2016.0,9.0,Ahmedabad
Hyundai,Comprehensive,Petrol,5.0,36000.0,First Owner,1086.0,Manual,17.92,62.1,13,Nov,2013.0,2.35,Delhi
Maruti,Third Party,Petrol,5.0,556.0,First Owner,796.0,Manual,22.05,47.33,,Jun,2022.0,4.77,Bangalore
Hyundai,Third Party,Petrol,5.0,9932.0,Second Owner,1197.0,Manual,17.52,81.86,,Jun,2021.0,9.14,Bangalore
Volkswagen,Third Party insurance,Diesel,5.0,99300.0,Second Owner,1498.0,Manual,20.14,88.0,15,,,5.8,Hyderabad
Toyota,Comprehensive,Petrol,5.0,11683.0,First Owner,1197.0,Manual,21.01,81.8,R16,Jun,2019.0,7.18,Pune
